name,year,rating,length,reviews
Relatos Salvajes,2014,8.1,2h 2m,215K
Mad Max: Fury Road,2015,8.1,2h,1.1M
"Monsters, Inc.",2001,8.1,1h 32m,975K
Sherlock Jr.,1924,8.2,45m,57K
The Third Man,1949,8.1,1h 44m,181K
Smultronstället,1957,8.1,1h 31m,115K
Le Salaire De La Peur,1953,8.2,2h 11m,66K
Jaws,1975,8.1,2h 4m,657K
How to Train Your Dragon,2010,8.1,1h 38m,797K
Mary and Max,2009,8.1,1h 32m,186K
Mr,1939,8.1,2h 9m,121K
Ratatouille,2007,8.1,1h 51m,820K
Ford v,2019,8.1,2h 32m,467K
The Big Lebowski,1998,8.1,1h 57m,858K
Det Sjunde Inseglet,1957,8.1,1h 36m,198K
Room,2015,8.1,1h 58m,449K
Tokyo Story,1953,8.1,2h 16m,68K
Rocky,1976,8.1,2h,626K
Logan,2017,8.1,2h 17m,827K
Spotlight,2015,8.1,2h 9m,501K
Hotel Rwanda,2004,8.1,2h 1m,371K
Platoon,1986,8.1,2h,438K
The Terminator,1984,8.1,1h 47m,921K
La passion de Jeanne d'Arc,1928,8.1,1h 50m,60K
Before Sunset,2004,8.1,1h 20m,287K
La haine,1995,8.1,1h 38m,195K
The Best Years of Our Lives,1946,8.1,2h 50m,70K
Jai Bhim,2021,8.7,2h 44m,217K
The Exorcist,1973,8.1,2h 2m,453K
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,2h 23m,1.2M
Rush,2013,8.1,2h 3m,511K
Network,1976,8.1,2h 1m,170K
Stand by Me,1986,8.1,1h 29m,440K
The Wizard of Oz,1939,8.1,1h 42m,427K
The Incredibles,2004,8.0,1h 55m,805K
Hachi: A Dog's Tale,2009,8.1,1h 33m,310K
Ah-ga-ssi,2016,8.1,2h 25m,171K
My Father and My Son,2005,8.2,1h 52m,92K
Into the Wild,2007,8.1,2h 28m,656K
The Sound of Music,1965,8.1,2h 52m,260K
La battaglia di Algeri,1966,8.1,2h 1m,65K
